Year,Month,Platform,Region,Genre,Song Type,Age Group (18-24),Age Group (25-34),Age Group (35-44),Age Group (45-54),Age Group (55+),Male (%),Female (%),Device Type,Monthly Active Users (MAU),Monthly Streams,Revenue (USD),ARPU (USD),Paid Subscribers (%),Free Subscribers (%),Likes,Shares,Comments,Peak Streaming Hours (UTC),Churn Rate (%)
2020,04,Spotify,North America,Electronic,Single,2909,2397,1886,2281,918,37,63,PS5,313089,190358,130446,12.092695994702265,57,43,383,4994,699,06:00,20.756661424393627
2019,10,YouTube,Japan,Classical,Album,1160,2303,3353,1441,1064,64,36,Desktop,168187,232233,79916,13.763352778436351,18,82,2438,3788,4092,18:00,31.583707459049652
2024,01,Amazon Music,Japan,Pop,Single,1274,2111,2435,2283,1641,57,43,Mobile,267187,483227,156944,18.926914255996405,23,77,2022,1814,3708,18:00,10.753595705006623
2020,02,YouTube,Japan,Jazz,EP,1687,2383,2576,1313,2493,58,42,Tablet,347322,271458,142172,5.416410318752249,23,77,1138,374,253,12:00,21.442022957896636
2023,04,Spotify,South America,Classical,Single,1659,3097,3494,2700,2270,58,42,Tablet,415635,274982,109397,6.0042272394627005,5,95,4480,4606,1628,18:00,16.323541959593687
2023,01,Apple Music,Asia,Hip-Hop,Single,1681,2854,3242,2842,1500,48,52,Tablet,394117,199317,123316,14.695158281890919,51,49,3849,3535,4062,06:00,29.68305136904213
2020,02,Apple Music,Europe,Hip-Hop,Album,2450,3142,3173,1463,864,59,41,PS5,446168,101450,156120,9.052489745784342,60,40,4435,2567,421,21:00,10.14499951645418
2024,01,YouTube,South America,Electronic,Album,2024,2088,3270,1774,1351,50,50,PS5,149657,332775,181165,5.193567220615992,30,70,4548,2505,1184,00:00,11.410379253614165
2020,04,YouTube,Africa,Classical,Single,1881,2324,2603,2787,1976,54,46,Mobile,238331,388488,98697,18.108479030924485,60,40,1655,366,1105,06:00,22.380978055284274
2024,04,YouTube,Europe,Rock,Single,2270,2561,2700,1629,1217,63,37,Tablet,497156,443864,70802,5.310093339930929,17,83,1194,2800,3541,00:00,13.550603683425152
2020,04,Amazon Music,Japan,Pop,Single,1068,2638,3168,2037,507,50,50,Desktop,423149,399108,123067,13.814727204084258,68,32,3711,3527,1129,18:00,34.479999090914234
2020,10,Spotify,Africa,Classical,EP,2862,3740,1579,1386,2294,63,37,Desktop,327243,353107,135825,4.906241373799266,53,47,4197,725,2171,06:00,41.500627902042396
2024,01,Amazon Music,Asia,Electronic,Single,2606,2743,2539,1608,2273,55,45,Desktop,235908,456681,155526,7.488788482591841,60,40,2110,392,4944,21:00,7.1471678312553095
2023,09,Apple Music,India,Jazz,EP,1065,3549,3491,2957,1943,46,54,Tablet,237748,303334,50907,8.58943940760384,35,65,3640,1618,4849,06:00,39.35374437330985
2022,03,Spotify,South America,Rock,Album,1023,3029,1901,2921,1596,59,41,Desktop,126154,306617,131177,5.4307956601071306,30,70,3476,1760,899,21:00,10.993455985314245
2019,09,Spotify,South America,Classical,EP,2451,2568,1786,1795,605,51,49,PS5,170137,395571,84218,2.3281435979279164,13,87,1557,3664,3588,00:00,39.253373764898036
2023,04,Apple Music,Japan,Pop,Album,2676,3787,3248,1486,2472,36,64,Mobile,268987,357128,131743,13.326950400014354,64,36,254,4368,333,12:00,36.800965391929374
2024,12,Apple Music,North America,Hip-Hop,EP,2481,2356,2851,2048,1537,37,63,Tablet,175076,309352,84361,16.25583027646793,18,82,2817,148,1668,06:00,13.764870365656362
2022,12,YouTube,Europe,Electronic,EP,2644,3059,1973,1797,1781,54,46,Desktop,299149,418334,64676,5.840177807293506,49,51,4159,3286,3312,12:00,20.567276828755933
2019,06,Apple Music,Japan,Classical,Album,1434,3640,1773,1894,1429,47,53,Mobile,287949,419469,84346,11.616388345205543,58,42,1215,319,4200,18:00,39.737582883376895
2020,11,Apple Music,Japan,Classical,Album,1782,3112,1750,2245,2073,52,48,Tablet,299426,487925,109213,8.876625742194646,34,66,2010,4452,709,18:00,47.84312597607556
2022,01,YouTube,South America,Hip-Hop,Album,2869,3296,1656,1964,1481,37,63,Tablet,164380,356419,197315,3.363016554740457,5,95,1837,3762,1376,21:00,30.70066199906637
2019,06,Spotify,Japan,Rock,EP,1823,2296,2008,1784,1505,63,37,Desktop,296254,287327,78674,19.746332498158054,51,49,3904,3661,2946,06:00,46.371095994701015
2019,03,YouTube,Europe,Electronic,EP,1820,3291,2617,2250,1180,35,65,PS5,434853,310995,162500,6.370364502342125,44,56,1872,306,1541,06:00,25.269417088638054
2023,05,Spotify,Africa,Jazz,EP,1360,3004,2072,1008,544,59,41,Desktop,383539,418945,80574,8.52738863935475,48,52,3487,1782,4250,18:00,5.727042992378259
2020,04,Amazon Music,India,Jazz,Album,2095,2580,3418,2487,732,50,50,Desktop,299542,396438,100337,16.073583504770408,62,38,162,4170,1403,06:00,16.639717746620803
2023,02,Spotify,South America,Hip-Hop,EP,2475,2958,3161,1006,1795,49,51,Desktop,168530,226401,164963,7.359897706648616,62,38,4005,4620,2021,21:00,9.570057447170068
2024,12,YouTube,Africa,Classical,Album,2688,3971,2399,2145,1974,56,44,Mobile,193326,275142,175295,16.285780496661758,45,55,981,1501,3733,00:00,39.99576124933818
2020,12,YouTube,India,Classical,Album,2962,3196,2980,1979,1977,38,62,Mobile,355389,405080,171319,11.362438786874046,48,52,4048,1494,3951,00:00,41.18853482896735
2024,12,Spotify,Asia,Jazz,Album,2493,3722,2665,2470,573,55,45,PS5,184531,428809,165558,9.146133481633171,69,31,119,1633,4184,06:00,24.107086992330704
2022,06,YouTube,Asia,Rock,Single,2703,2346,1797,1064,602,62,38,Mobile,134104,345114,194479,17.482813235244095,48,52,4661,1217,4518,18:00,19.101719919873354
2019,04,Spotify,India,Hip-Hop,EP,2328,3252,3092,2272,1142,63,37,Mobile,180696,367006,133393,18.833069124452262,58,42,4125,2645,1931,06:00,6.455633276210175
2019,07,Amazon Music,Asia,Jazz,EP,2849,3510,1588,1137,1032,52,48,Desktop,245003,348213,191800,13.672471744268854,40,60,1597,3795,4213,00:00,18.874879388703196
2024,11,YouTube,Japan,Electronic,Album,2452,3602,1780,1386,588,45,55,Mobile,441435,212886,65971,4.774669354311264,7,93,604,2816,4397,06:00,42.77245032368816
2024,05,Spotify,North America,Rock,Single,1155,3550,1910,1835,1396,43,57,PS5,118002,216601,188071,18.08983389036984,31,69,4328,297,427,18:00,30.601362667234756
2019,02,Spotify,Europe,Jazz,Single,1302,3906,2377,2696,1535,53,47,Tablet,236699,108744,97923,12.811842457244794,36,64,328,3237,4976,18:00,47.7451310492272
2019,10,YouTube,North America,Hip-Hop,EP,2409,2117,2755,1472,1648,48,52,Tablet,351493,211364,84997,5.779179045916331,10,90,4848,3831,2841,00:00,23.92572121155562
2022,09,Apple Music,Africa,Electronic,Album,1650,3439,2418,2872,2171,41,59,Mobile,215671,264654,60853,4.998338764221084,66,34,3368,561,2829,21:00,33.09925609148121
2024,10,Spotify,South America,Electronic,EP,2805,3220,1983,2304,592,56,44,Tablet,147504,309231,97791,13.569264693207424,13,87,2236,2356,2161,00:00,16.57847504361103
2022,01,Apple Music,Europe,Hip-Hop,EP,1445,2856,2146,1509,1123,45,55,Mobile,195122,329561,65004,9.415118344459326,38,62,4420,1277,3815,00:00,35.036828186099655
2019,05,Amazon Music,North America,Hip-Hop,EP,1597,2449,2417,1043,2236,61,39,Desktop,142082,116829,87837,10.439447357230067,11,89,2505,4240,3699,18:00,41.73862494483608
2019,11,Spotify,Europe,Jazz,Single,1892,3683,2639,1930,949,40,60,Tablet,474576,327886,124758,3.627726267334322,18,82,2411,3633,1749,18:00,7.288044921180816
2022,09,Spotify,South America,Electronic,EP,1725,3761,3270,2321,990,38,62,Tablet,111150,201841,195978,9.939784472299822,53,47,1235,3670,2723,18:00,18.062331498276844
2023,04,Spotify,Europe,Electronic,Single,1474,3490,3163,1965,2439,52,48,Desktop,181838,192546,187780,10.656125160291438,30,70,695,2123,4275,21:00,6.46271523362028
2019,12,Spotify,South America,Classical,Single,2808,3466,2176,2059,994,61,39,PS5,368365,319823,176589,2.01605841262242,63,37,854,1459,2067,06:00,27.478823391229774
2024,10,Spotify,Europe,Jazz,Single,2953,3195,3295,1791,1161,60,40,Mobile,111424,306846,146557,18.219448105667187,52,48,415,3812,4685,12:00,35.76732057913915
2024,11,Apple Music,Japan,Hip-Hop,Album,2160,2293,1985,1677,1379,41,59,Desktop,283172,404807,123460,9.416181734986914,10,90,1195,3793,3746,00:00,49.455234835079594
2019,04,Spotify,Africa,Pop,Single,2396,2498,2331,1830,2458,60,40,Mobile,237353,242617,52290,13.538057949196617,61,39,2559,2187,457,18:00,43.30746462901407
2020,11,Amazon Music,South America,Jazz,Album,1435,2510,2712,1783,1499,53,47,Tablet,299220,454452,149293,4.024978765238105,19,81,3075,2874,4688,12:00,11.176499282406407
2020,04,YouTube,Japan,Pop,Album,2970,2377,1634,2649,602,42,58,Tablet,193643,245273,176237,19.733541502516125,56,44,2569,4491,4412,12:00,47.81176180679961
2024,08,Amazon Music,North America,Pop,EP,1120,3224,1695,1356,2109,62,38,PS5,112374,385197,116133,6.9643396069109595,40,60,3282,119,971,00:00,33.370069884526266
2019,09,Amazon Music,India,Electronic,Album,1724,3652,2700,1299,1166,36,64,Tablet,369456,473649,66677,5.735889300833266,16,84,3664,946,4011,06:00,45.35802265377613
2022,07,YouTube,Asia,Classical,Single,2998,3343,2762,1598,758,61,39,Tablet,273865,348607,67073,3.193821118155118,24,76,3570,2601,4258,00:00,39.1042206112975
2020,02,YouTube,India,Jazz,Single,1328,3736,2033,2800,1291,58,42,Mobile,483234,222203,53281,9.398009442103842,22,78,3686,575,4376,06:00,21.201417957092875
2023,06,Spotify,Europe,Classical,Single,1083,2062,2343,1320,1957,61,39,Mobile,434579,381813,63255,11.62337512397739,6,94,1202,689,186,12:00,47.57342945945417
2020,09,Amazon Music,India,Hip-Hop,EP,2341,2161,2892,2593,2287,48,52,Tablet,263838,381728,110479,16.365698801091177,56,44,3932,3911,353,06:00,45.38646713943197
2022,04,Amazon Music,Africa,Pop,Album,1497,3906,1837,2846,1267,44,56,Desktop,254574,488390,163550,11.164382854568062,34,66,340,2501,1083,18:00,6.246156665736358
2019,09,YouTube,South America,Pop,EP,1418,3117,3180,1469,2396,44,56,Desktop,271588,224573,60729,7.951579041860629,10,90,2989,3742,1438,06:00,20.84986060872994
2020,09,Spotify,India,Electronic,Single,2685,3963,2597,2638,1547,38,62,PS5,383127,409391,106659,3.4316048027227293,30,70,2632,3465,289,21:00,31.88194293447934
2020,10,Apple Music,North America,Rock,EP,2452,2477,3091,1465,1055,35,65,PS5,181174,306399,194427,2.96598405551317,53,47,4034,827,130,12:00,36.43174047421886
2019,10,Amazon Music,Asia,Hip-Hop,Album,1723,2921,1910,1108,2066,56,44,Mobile,326894,402904,145576,2.1396833029939946,20,80,4442,4938,147,06:00,40.291311601982116
2022,12,Apple Music,Africa,Pop,EP,1505,2515,1781,1247,1924,42,58,Desktop,126677,175418,91065,11.842767651159802,56,44,2157,2253,4414,21:00,9.51878602405704
2023,09,Apple Music,India,Rock,EP,2160,2409,3416,1891,1550,58,42,PS5,373186,220992,185926,9.394853118450682,43,57,524,2265,280,00:00,33.226762351248844
2019,03,YouTube,Japan,Classical,EP,1248,3306,2735,2565,629,37,63,PS5,418238,300822,163760,14.222422271223344,37,63,2097,867,4272,18:00,5.752451861847944
2024,12,YouTube,Asia,Electronic,Single,2784,2389,2975,2529,1159,49,51,PS5,424866,109254,152639,11.636516591807622,67,33,3472,132,2494,00:00,7.1665306614176645
2022,11,Spotify,South America,Hip-Hop,Single,1226,2045,2850,1878,1193,37,63,Mobile,464656,174887,105478,6.493222210195582,41,59,3201,3119,271,06:00,45.15194293470588
2019,02,Amazon Music,Asia,Pop,Album,2113,3226,2406,1163,1062,57,43,PS5,282145,160576,195387,15.158905700974925,63,37,4100,1250,390,06:00,49.65130231934178
2023,08,YouTube,India,Classical,Album,2244,3676,1630,2522,1683,40,60,Tablet,277492,221704,117742,19.14032802296638,31,69,221,2876,4171,18:00,28.973972128914344
2023,04,Spotify,Africa,Jazz,Album,1300,2651,2188,1406,2430,40,60,Desktop,345922,233707,145141,4.255536789795274,49,51,2797,4986,238,21:00,23.385035428073596
2020,11,YouTube,Asia,Electronic,Album,2404,3314,3496,2521,1263,39,61,Mobile,453694,185052,61196,5.9616356266530754,64,36,2924,1374,1755,00:00,14.41082819442638
2022,08,Amazon Music,Africa,Jazz,Single,1391,3854,2998,1925,2423,41,59,Desktop,295950,448512,162835,17.231528277348325,55,45,4458,4233,2319,00:00,36.04841843684269
2020,08,Amazon Music,Europe,Electronic,Album,1604,3690,2130,1725,1238,58,42,PS5,372087,476745,124486,16.597221425316178,56,44,1623,3962,3407,21:00,14.252040111717228
2019,03,Amazon Music,Africa,Jazz,Single,1694,2963,3144,2577,611,59,41,Tablet,397946,279520,59737,12.901754676095827,45,55,897,1746,3388,12:00,40.62280328720674
2022,11,Spotify,India,Jazz,Album,1923,2929,2092,2690,1206,61,39,Tablet,353181,198819,155501,11.955118630078989,6,94,2788,3158,4374,06:00,19.327503353260525
2020,11,Spotify,Japan,Pop,Album,2663,2037,3013,2312,1501,58,42,Tablet,193535,402540,199913,15.75007735827781,21,79,2797,3375,358,18:00,21.528780040276995
2019,08,Spotify,India,Jazz,Single,2505,2608,2611,1401,2413,50,50,Tablet,159530,499558,170036,13.407201676859954,31,69,757,1417,2688,12:00,42.36042691770814
2020,05,Amazon Music,Europe,Classical,Album,2410,3952,1900,1882,1130,50,50,Mobile,174387,331979,156352,16.274671822137744,52,48,3715,2029,595,12:00,29.330448164909978
2020,10,Amazon Music,South America,Jazz,EP,1864,3748,1548,1382,884,63,37,Mobile,267703,336017,173664,6.5703523313701915,42,58,4350,4486,2215,00:00,25.538619028786037
2019,02,Spotify,North America,Rock,Album,2001,2355,1548,1310,1853,47,53,Tablet,385015,214283,161247,16.330798378015196,26,74,4207,2179,4090,12:00,46.40000706325742
2020,01,Apple Music,Europe,Hip-Hop,EP,1846,2982,2984,2688,1528,62,38,Desktop,339589,114816,89062,9.781039980345483,40,60,4963,3735,3428,21:00,35.26055046951034
2022,08,YouTube,North America,Hip-Hop,Single,1852,3819,1680,1079,995,35,65,PS5,340838,314029,104736,18.920002189148075,10,90,522,3336,2948,18:00,46.15757130727376
2024,04,Spotify,Japan,Jazz,Single,1458,2508,2264,1668,1296,35,65,Desktop,387807,456235,185894,5.197234650949645,6,94,2485,3502,1427,00:00,7.6637939907635015
2022,08,Spotify,Africa,Rock,EP,1293,3571,2108,2238,2340,58,42,PS5,408017,412547,100499,17.766572540813755,59,41,3570,362,3157,00:00,46.253381854528634
2020,04,Apple Music,India,Electronic,EP,2002,3228,2514,1345,2359,62,38,Mobile,143105,328326,109953,16.710062577621386,15,85,1854,2991,3966,18:00,49.37860996554384
2020,08,Amazon Music,India,Classical,EP,1439,2490,1636,2670,2401,51,49,Mobile,254670,230634,103589,10.475182867719393,8,92,318,2881,4529,00:00,40.59913138186544
2024,03,Amazon Music,South America,Jazz,Single,1462,2660,1771,2062,1030,58,42,PS5,360581,420180,78935,1.964285505137267,68,32,2595,2667,2363,18:00,14.250954038078754
2019,05,Apple Music,India,Jazz,EP,2357,3293,2630,2219,509,38,62,Tablet,235683,292648,51286,7.240865841810681,6,94,4975,2885,175,06:00,44.27286784613619
2019,05,YouTube,Africa,Classical,Single,1498,2315,1747,1826,1002,50,50,PS5,331309,358472,138138,19.420335567873288,69,31,744,479,2701,12:00,11.321407972642461
2020,04,Spotify,India,Electronic,Album,1559,3420,2555,2504,783,60,40,Desktop,399667,325369,69914,2.566262998826516,38,62,4672,4625,3868,12:00,44.43992691785503
2019,07,Amazon Music,Africa,Jazz,Single,2360,2155,2258,1991,689,40,60,Desktop,296923,420335,104075,1.5951863621003053,32,68,667,4537,920,18:00,44.631700331350295
2024,02,YouTube,Japan,Rock,Single,1420,2549,2751,1554,1133,58,42,Desktop,164259,436867,146668,11.602032974996849,45,55,881,285,4660,00:00,24.3580670091621
2024,08,Apple Music,Asia,Classical,Album,1905,2260,3257,1000,2327,49,51,Desktop,448832,299451,121526,14.055311662884074,68,32,4221,1762,3723,21:00,41.2857441650218
2019,10,YouTube,Africa,Jazz,Single,1369,3965,1627,2849,1780,56,44,Desktop,419579,422144,199479,4.047811720450417,47,53,1316,583,1320,06:00,42.65105601330681
2022,02,Amazon Music,Europe,Pop,Album,2769,3237,2664,1866,2097,48,52,PS5,468912,307335,98904,13.957421570147936,26,74,701,4574,4099,18:00,41.14346987269929
2023,06,Spotify,Japan,Classical,Single,1256,3825,2432,1536,2117,47,53,Mobile,158566,281632,165775,3.3257545576764,32,68,4507,2435,1321,18:00,33.07204455162467
2023,10,Apple Music,Europe,Electronic,Single,1001,3886,1719,2502,1085,40,60,PS5,418874,105801,71937,17.74780531076047,31,69,4974,3137,2750,21:00,43.81604583362149
2023,06,YouTube,Japan,Jazz,Album,2764,2384,3082,1772,2035,39,61,Desktop,415338,497371,156403,9.817946039411016,62,38,3454,4379,1024,00:00,11.23177465221198
2022,06,Spotify,Europe,Rock,Album,1389,3482,2190,1165,1837,48,52,PS5,103624,376921,87490,11.122095690225843,9,91,2887,444,2418,06:00,12.191062745596255
2022,07,Amazon Music,Japan,Hip-Hop,Album,2490,2343,2680,2960,503,48,52,Mobile,406870,118765,114697,8.945494164333514,46,54,4050,3248,332,21:00,25.069373589627226
2023,10,YouTube,South America,Electronic,Album,2539,2790,2932,1175,2227,51,49,Tablet,180624,179295,140021,16.423193600492695,18,82,133,2415,803,12:00,47.30948609762431
2019,10,Spotify,India,Rock,Album,2455,3431,1540,1221,2478,53,47,PS5,482441,353732,167514,6.584601668704014,6,94,4369,172,2977,00:00,33.87396500967496
2023,02,Spotify,Africa,Jazz,Album,1550,3636,1799,1231,697,57,43,Desktop,231197,159728,69855,2.138802340451137,52,48,2570,3059,2119,12:00,24.84991578607202
2020,08,Amazon Music,Asia,Rock,EP,1258,3257,1824,1819,1597,39,61,PS5,258825,441374,136173,11.86703863684592,18,82,3109,2755,2236,21:00,23.248929414762628
2023,10,Amazon Music,North America,Classical,EP,2030,3507,2612,2237,1778,49,51,Desktop,171875,189698,98236,7.670724174103109,41,59,323,3225,2089,06:00,12.757751638732303
2023,02,Apple Music,Asia,Electronic,EP,1259,3558,2498,2947,2041,45,55,PS5,337906,330786,53134,9.919101795437054,57,43,282,492,808,06:00,37.379585833291394
2020,07,Apple Music,Africa,Rock,Single,1676,2965,2298,2020,1188,50,50,Mobile,158069,166233,148354,14.910546595415203,58,42,3044,4954,1011,00:00,36.39042347568616
2023,01,Amazon Music,India,Classical,Album,1266,2543,3147,1917,1284,38,62,Desktop,156422,273668,69147,5.668642150899414,46,54,3609,267,770,06:00,41.470840016186585
2019,03,YouTube,India,Classical,Single,1262,3695,2041,2151,1952,50,50,Desktop,384815,342221,175202,14.396954789362413,54,46,3267,4642,1439,00:00,6.051414250663053
2019,11,Amazon Music,Europe,Hip-Hop,Single,2792,2511,1683,2502,1243,54,46,Mobile,360959,377667,151650,15.833267103840615,57,43,3687,3589,406,18:00,40.13740480865444
2020,12,Amazon Music,India,Rock,Album,2113,3366,1802,1023,920,61,39,Desktop,144963,344375,73940,18.038964402437326,55,45,1659,4800,1198,00:00,10.032821098209192
2019,03,YouTube,South America,Electronic,Single,2699,2682,2536,2973,1397,52,48,Mobile,382383,246592,156872,6.851444240051206,51,49,947,4883,4890,00:00,7.622039061667847
2023,07,Apple Music,South America,Rock,EP,1489,3394,2141,2234,1789,51,49,Desktop,356747,439865,52582,14.698745061324104,31,69,1672,1445,4829,18:00,44.890792552165536
2023,09,Apple Music,South America,Classical,EP,1812,2207,3407,2119,2288,52,48,Desktop,469815,242445,98959,17.018128299140344,53,47,566,2660,2483,18:00,39.093513285666845
2022,06,Spotify,North America,Hip-Hop,Album,2170,2246,1741,1964,2401,55,45,Tablet,187641,311216,162185,7.6143528623762124,13,87,3595,1446,1958,12:00,22.2797720657876
2019,08,Amazon Music,Europe,Rock,Single,1661,2254,2438,2575,1816,51,49,Tablet,280178,180082,108649,9.94342578783051,7,93,4259,4688,3763,18:00,38.29614359743558
2019,02,Amazon Music,North America,Jazz,Album,1291,2595,2278,2609,2399,54,46,Desktop,421705,404229,88779,8.07633322343143,5,95,3848,2272,4609,12:00,39.43146431254466
2024,12,Spotify,Asia,Jazz,Single,2062,3954,3027,2995,1740,42,58,Mobile,147800,366006,127262,18.930882596672504,10,90,3404,3823,2475,18:00,29.62996529306941
2023,08,Spotify,South America,Hip-Hop,Album,1656,2574,3467,1146,1065,64,36,Desktop,159508,405532,177492,8.42973491261455,29,71,517,4952,1568,06:00,22.801571524415085
2020,02,YouTube,North America,Jazz,Album,1108,3543,2713,2537,1707,35,65,PS5,220852,186351,125503,14.783465674940517,33,67,2816,3153,3582,06:00,23.549692946469875
2020,02,YouTube,India,Pop,Single,1756,3626,1687,2136,1048,63,37,PS5,133133,417708,80514,17.74722574350418,68,32,3765,3950,2188,18:00,34.02756511074438
2020,02,Amazon Music,Japan,Pop,Single,2098,2346,2141,1423,2448,59,41,PS5,345486,363365,121693,4.493212533570875,9,91,4269,3751,2766,21:00,25.29917020080393
2020,03,Apple Music,Europe,Hip-Hop,Album,1786,3115,2453,1803,924,43,57,Mobile,105757,147205,52547,2.7417743665144365,31,69,203,1670,4076,00:00,31.84339640087391
2020,06,Spotify,India,Electronic,Album,1597,3720,2517,2242,1496,39,61,Tablet,408244,311049,194387,6.126429761894648,49,51,511,1965,2367,06:00,19.995093460895387
2024,12,Amazon Music,Asia,Classical,EP,1488,3821,2014,1851,1003,40,60,PS5,259601,187284,153192,10.755887610283695,29,71,4836,4199,3654,06:00,38.58770826982602
2024,02,Amazon Music,Europe,Hip-Hop,Album,1450,3606,3498,2106,2419,48,52,PS5,325935,479063,113428,16.382629549576592,59,41,1357,2027,4269,06:00,20.36819161383049
2023,09,Apple Music,Japan,Pop,Single,2719,2539,1828,2080,2205,45,55,PS5,379341,216090,176479,7.368030056615619,24,76,4163,2704,323,06:00,46.21988972965852
2020,03,Spotify,South America,Hip-Hop,Single,1914,3565,3097,2825,2178,60,40,PS5,124928,165259,142480,5.4672444190974545,16,84,4384,1346,4307,00:00,21.99142957787444
2019,06,Apple Music,Europe,Pop,Single,2723,2190,2969,1068,1965,53,47,Mobile,455222,277603,187860,9.078840430547958,26,74,1522,1580,367,18:00,11.259681004086495
2023,12,YouTube,Africa,Jazz,Single,1403,3395,1856,2993,2200,56,44,Mobile,145801,487712,182423,12.96040108481375,50,50,3822,4640,3645,00:00,15.52848729277115
2020,09,YouTube,Asia,Pop,Single,1907,3454,1711,2323,2254,52,48,Mobile,421749,435114,55337,15.153285457955949,26,74,2895,2514,2867,00:00,8.02731218527193
2024,10,YouTube,Europe,Hip-Hop,Album,2739,3098,2720,1309,727,62,38,Mobile,341999,186040,122679,14.955057747914925,18,82,4470,3559,3215,21:00,32.93872767582384
2024,07,Amazon Music,North America,Pop,EP,1228,2983,1995,2344,1454,43,57,Desktop,252423,140487,111074,3.2768959166085487,19,81,3302,2772,406,12:00,39.564360852588145
2024,04,Spotify,South America,Hip-Hop,Album,2849,3512,2550,1926,1360,64,36,Tablet,207125,438058,86348,4.55446623192309,43,57,2532,3461,832,21:00,12.77846199921169
